VARIETYID,COUNTRYID,PublicationType,APPLICATIONNUMBER,BREEDERREFERENCE,SPECIEID,SPECIENAME,SPECIENAMEEN,AGRI,FOREST,FRUIT,MISC,ORNA,VEGE,APPLICATIONDATE,GRANTDATE,APPLICANTNAME,BREEDERNAME,TITLEHOLDER,MAINTAINER,DENOMINATION
1001,FR,Grant,2023-0001,LG-W-01,S01,Triticum aestivum,Wheat,1,0,0,0,0,0,1/10/23,2/15/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Altesse
1002,FR,Grant,2023-0002,LG-W-02,S01,Triticum aestivum,Wheat,1,0,0,0,0,0,1/11/23,2/16/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Auriga
1003,FR,Grant,2023-0003,LG-W-03,S01,Triticum aestivum,Wheat,1,0,0,0,0,0,1/12/23,2/17/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Zenith
1004,FR,Grant,2023-0004,LG-W-04,S01,Triticum aestivum,Wheat,1,0,0,0,0,0,1/13/23,2/18/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Armada
1005,FR,Grant,2023-0005,LG-W-05,S01,Triticum aestivum,Wheat,1,0,0,0,0,0,1/14/23,2/19/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Apollo
1006,FR,Grant,2023-0006,LG-M-01,S02,Zea mays,Maize,1,0,0,0,0,0,2/1/23,3/5/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Astari
1007,FR,Grant,2023-0007,LG-M-02,S02,Zea mays,Maize,1,0,0,0,0,0,2/2/23,3/6/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Zebra
1008,FR,Grant,2023-0008,LG-M-03,S02,Zea mays,Maize,1,0,0,0,0,0,2/3/23,3/7/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Meteor
1009,FR,Grant,2023-0009,LG-M-04,S02,Zea mays,Maize,1,0,0,0,0,0,2/4/23,3/8/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Titan
1010,FR,Grant,2023-0010,LG-M-05,S02,Zea mays,Maize,1,0,0,0,0,0,2/5/23,3/9/24,Limagrain,Limagrain,Limagrain,Limagrain,LG Nova
